src,dst,stime,method,proto,sport,dport,node_addr,hop_addr,probe_ttl,probe_attempt,probe_rtt,probe_retransmit,probe_sent_ttl,probe_sent_size,reply_rtt,reply_ttl,reply_ipid,reply_icmp_type,reply_icmp_code
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,5.132,254,69,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.535,254,72,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.502,254,73,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.862,254,80,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.807,254,84,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.764,254,86,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.63,253,750,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.027,253,138,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.978,253,905,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.481,253,337,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.148,253,384,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.839,253,142,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,18.67,253,245,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.14,253,306,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.691,253,976,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.636,253,767,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.617,253,128,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.85,253,229,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.936,253,544,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.008,253,363,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.43,252,937,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.10,4,1,N/A,N/A,N/A,N/A,4.633,252,296,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.632,252,502,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.521,252,439,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.564,252,523,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.881,252,0,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,3.945,252,0,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.154,252,0,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,9.506,252,0,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.013,252,0,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.85,252,0,11,0
