src,dst,stime,method,proto,sport,dport,node_addr,hop_addr,probe_ttl,probe_attempt,probe_rtt,probe_retransmit,probe_sent_ttl,probe_sent_size,reply_rtt,reply_ttl,reply_ipid,reply_icmp_type,reply_icmp_code
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.632,252,502,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.521,252,439,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.564,252,523,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.881,252,0,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,3.945,252,0,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.154,252,0,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,9.506,252,0,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.013,252,0,11,0
192.168.1.27,130.104.228.159,N/A,tcp-sport,N/A,64118,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.85,252,0,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,5.776,254,114,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.12,254,115,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,7.86,254,126,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.718,254,130,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.443,254,134,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.09,254,137,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.113,253,124,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,2.347,253,165,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,29.783,253,421,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,2.637,253,514,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.673,253,24,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.56,253,73,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,5.429,253,215,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,8.015,253,298,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,5.285,253,362,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.014,253,468,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,5.151,253,577,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.081,253,640,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,1,N/A,N/A,N/A,N/A,4.13,252,441,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.358,252,469,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,5.084,252,552,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,3.786,252,640,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.073,252,718,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.576,252,738,11,0
192.168.1.27,80.77.4.60,N/A,icmp-echo,N/A,N/A,N/A,10.50.3.10,213.140.39.160,5,0,N/A,N/A,N/A,N/A,5.01,250,0,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.795,254,208,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.123,254,214,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,5.09,254,220,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,3.996,254,225,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.787,254,230,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.393,254,233,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.361,253,472,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.825,253,589,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.534,253,937,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.606,253,596,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.339,253,377,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,191.112.0.1,10.50.3.21,3,1,N/A,N/A,N/A,N/A,4.408,253,587,11,0
